Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,1402.891,1421.9999153582805,0.142,34.675098,0.07225196980573395,27.8401165715145,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1406.824,1425.9999906306061,0.141,34.675301,0.0710174752675458,27.840347072555005,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1410.757,1430.0001408644455,0.14,34.675598,0.06978252482219692,27.840653457076087,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1414.69,1434.0003660552675,0.14,34.674702,0.06953895093259017,27.83994333659689,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1418.622,1437.999649077359,0.139,34.673599,0.06830722694641546,27.839119418615383,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1422.555,1442.000024149497,0.137,34.673599,0.06608392926269055,27.839239287670125,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1426.488,1446.0004741650246,0.135,34.673599,0.0638604807440586,27.839359097903753,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1430.42,1449.9999819410705,0.134,34.673901,0.06262455450971462,27.83966945139923,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1434.352,1453.999564613344,0.133,34.674099,0.06138868442859849,27.839895830802107,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1438.285,1458.0002393937505,0.132,34.673,0.060155933195152306,27.839075030319464,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1442.217,1461.9999718639397,0.129,34.674198,0.056940406517063426,27.840215100801288,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1446.149,1465.99977921677,0.127,34.674198,0.05471620219072721,27.840334680500064,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1450.081,1469.999661447715,0.126,34.6731,0.0534829902629408,27.839514577640102,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1454.013,1473.9996185522446,0.125,34.674599,0.05224271112790268,27.84079129807833,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1457.945,1477.9996505258307,0.124,34.673599,0.05100882932275307,27.84005029525406,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1461.877,1481.999757363945,0.123,34.673801,0.04977155339362282,27.840279790849536,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1465.809,1485.9999390620596,0.121,34.673801,0.04754647721219493,27.84039919846714,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1469.741,1490.0001956156448,0.119,34.673901,0.045320983039356146,27.840599290329692,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1473.672,1493.9995096323744,0.118,34.672798,0.04408668912636086,27.839775018090222,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1477.604,1497.9999158642806,0.116,34.674099,0.041857641684561735,27.840944757451098,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1481.536,1502.0003969380725,0.113,34.674,0.038644193384113595,27.841036918689724,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1485.467,1505.9999354043289,0.112,34.673,0.037409101027884854,27.84029570776397,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1489.398,1509.9995486653547,0.11,34.6744,0.03517936886474541,27.841545235971125,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1493.33,1514.0002541995705,0.108,34.6731,0.03295673333698655,27.84061455012761,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1497.261,1518.000017055584,0.106,34.673199,0.030730221095801133,27.840813448572135,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1501.192,1521.9998546927904,0.104,34.673199,0.02850382711488481,27.840932347971375,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1505.123,1525.9997671066633,0.104,34.673599,0.02825183421426721,27.841268738675808,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1509.054,1529.9997542926767,0.102,34.673698,0.026024804567593676,27.84146752771835,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1512.985,1533.999816246304,0.101,34.6726,0.024788676813787627,27.84064699868304,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1516.916,1537.9999529630209,0.1,34.672798,0.023548781498644242,27.840872977609934,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1520.847,1542.0001644382999,0.098,34.672901,0.021321232507767632,27.84107487753454,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1524.778,1546.0004506676153,0.098,34.673302,0.021068051769205107,27.84141212323925,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1528.708,1549.999793992322,0.096,34.6721,0.01884382453321851,27.840560153571914,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1532.639,1554.0002296971181,0.094,34.6721,0.01661605334652505,27.84067875958044,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1536.569,1557.9997224502326,0.091,34.672001,0.013400889888184917,27.84076988376978,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1540.5,1562.000307612409,0.09,34.672199,0.012159847071801016,27.840995736969262,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1544.43,1565.9999497758351,0.088,34.672298,0.009931410729998395,27.841194109774506,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1548.36,1569.9996666281288,0.086,34.671001,0.007706747217345527,27.84026507397425,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1552.291,1574.0004759329315,0.084,34.672401,0.005474286164142094,27.84151396634047,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1556.221,1578.0003421683928,0.083,34.6726,0.004232544989034804,27.841740537139458,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1560.151,1582.0002830791502,0.083,34.6717,0.003981105400724541,27.841027199209066,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1564.081,1586.0002986606821,0.082,34.6707,0.002742319406450466,27.840285484596507,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1568.011,1590.0003889084635,0.081,34.672199,0.0014962261364211793,27.841561891755646,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1571.94,1593.9995359548093,0.08,34.6712,2.5709200377945103e-4,27.840820955183062,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1575.87,1597.9997755025242,0.079,34.671398,-9.857257433934824e-4,27.84104668616601,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1579.8,1602.000089702921,0.077,34.671501,-0.0032157371756184275,27.84124797306231,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1583.729,1605.9994606313319,0.075,34.671501,-0.005445539354977777,27.8413660154597,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1587.659,1609.9999241045268,0.073,34.6716,-0.00767584182940274,27.841563955119227,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1591.589,1614.000462216832,0.072,34.671799,-0.008919421452519838,27.841790406630707,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1595.518,1618.0000569866127,0.072,34.671001,-0.009173130456890284,27.841159466735235,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1599.447,1621.999726348483,0.07,34.671001,-0.01140361976115514,27.84127736155301,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1603.376,1625.9994702979222,0.068,34.671101,-0.013634549873124301,27.841475959741274,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1607.306,1630.0003068644733,0.067,34.671299,-0.014878938614241353,27.84170154766025,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1611.235,1634.000199994471,0.067,34.670502,-0.015133554291888696,27.841071427103998,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1615.164,1638.000167698475,0.065,34.670502,-0.01736473043265722,27.841189174093188,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1619.093,1642.0002099719654,0.063,34.670601,-0.019596347142414802,27.84138681874356,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1623.022,1646.0003268104208,0.06,34.670502,-0.02281445724890197,27.84147649106103,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1626.95,1649.9995000803647,0.059,34.6707,-0.024059677313726116,27.841701971022076,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1630.879,1653.9997660162126,0.057,34.670799,-0.026291747544485274,27.841899440154975,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1634.808,1658.0001065034644,0.056,34.669701,-0.027533589049925263,27.841078140261516,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1638.736,1661.999503351726,0.054,34.6698,-0.02976591795819899,27.841275511626463,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1642.665,1665.9999929092505,0.053,34.668701,-0.031008124187691992,27.840453348893107,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1646.594,1670.0005570046173,0.052,34.6703,-0.0322585712581476,27.841810320053582,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1650.522,1674.0001773905242,0.051,34.670601,-0.033505303813415606,27.842118901466165,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1654.45,1677.999872267299,0.05,34.669498,-0.03474804366413617,27.841293463326792,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1658.378,1681.9996416304243,0.048,34.670898,-0.03698515022303304,27.842541490944086,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1662.307,1686.0005037750486,0.047,34.669899,-0.03822864529154346,27.841800008196742,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1666.235,1690.0004221162799,0.045,34.6712,-0.040465804735753425,27.842968002689076,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,1670.163,1694.0004149303063,0.044,34.6702,-0.041709608109839244,27.842225659750056,NA
