Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,2469.959,2510.0000637682947,-0.169,34.660198,-0.30905944964960314,27.847669010272284,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2473.872,2513.999866775018,-0.17,34.6619,-0.310354436343185,27.84910806432208,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2477.785,2517.9997427641974,-0.171,34.660999,-0.3116382254615541,27.848442220853485,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2481.698,2521.99969173136,-0.172,34.6614,-0.3129279256665065,27.84882921643748,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2485.611,2525.999713672036,-0.172,34.659401,-0.31322666311573083,27.847227701892734,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2489.524,2529.99980858175,-0.173,34.661098,-0.31452250023342443,27.848662700397654,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2493.437,2533.999976456031,-0.174,34.661499,-0.3158128409514733,27.849049680303096,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2497.35,2538.000217290407,-0.175,34.660599,-0.31709763807203406,27.848384580794573,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2501.262,2541.9995087573147,-0.175,34.661201,-0.3174086965142105,27.8488863949799,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2505.175,2545.9998954798198,-0.176,34.660301,-0.3186939105532581,27.84822128181895,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2509.088,2550.000355149006,-0.177,34.660702,-0.3199850895414353,27.84860823066674,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2513,2553.9998653813864,-0.178,34.659801,-0.3212706079205564,27.84794226897702,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2516.913,2558.000470911874,-0.179,34.660198,-0.3225621735607278,27.84832595832404,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2520.825,2562.000126959341,-0.179,34.660801,-0.322874424798623,27.848828625745227,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2524.737,2565.99985589833,-0.18,34.661201,-0.3241663661104327,27.84921473664872,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2528.649,2569.999657724373,-0.18,34.6605,-0.324473285795509,27.848662896012,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2532.562,2574.0005549051775,-0.181,34.6609,-0.32576573928277935,27.849049004218386,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2536.473,2577.9994800197433,-0.182,34.66,-0.3270524111412817,27.84838378900895,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2540.385,2581.999500480134,-0.183,34.6604,-0.32834518915823235,27.848769868428917,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2544.297,2585.9995938097018,-0.183,34.659698,-0.3286530227501266,27.84821723589971,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2548.209,2589.9997600039783,-0.184,34.660099,-0.32994623780130733,27.848604117383047,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2552.121,2593.9999990584965,-0.184,34.659401,-0.33025456265697306,27.848054731976617,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2556.033,2598.0003109687855,-0.185,34.659801,-0.3315482056142023,27.848440798088404,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2559.944,2601.9996731278284,-0.187,34.661301,-0.3338270346249271,27.849763891757675,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2563.856,2606.000130717634,-0.187,34.660599,-0.33413602040407436,27.849211280173222,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2567.767,2609.99963851002,-0.188,34.660999,-0.3354302011000907,27.849597313552522,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2571.679,2614.000241761471,-0.189,34.6614,-0.3367246720019898,27.849984149882857,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2575.59,2617.9998951693356,-0.189,34.660702,-0.33703429486595265,27.84943478438845,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2579.501,2621.9996213689333,-0.19,34.659801,-0.33832318804956485,27.848768635630904,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2583.413,2626.000443070038,-0.191,34.660198,-0.3396182699795338,27.84915221465667,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2587.324,2630.000314858315,-0.191,34.6595,-0.3399285829830946,27.848602862687358,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2591.235,2634.0002594249295,-0.191,34.660099,-0.340245073673374,27.849102459485948,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2595.146,2638.0002767654146,-0.192,34.659199,-0.3415348013621774,27.848437091049846,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2599.057,2642.0003668753047,-0.193,34.659599,-0.34283067972804115,27.84882307859175,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2602.968,2646.0005297501352,-0.193,34.6591,-0.34314285056952154,27.848434692584078,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2606.878,2649.9997425595657,-0.193,34.659698,-0.3434602341294783,27.848933515746467,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2610.789,2654.0000509322786,-0.194,34.660099,-0.34475678351049477,27.849320314589022,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2614.699,2657.9994091934614,-0.194,34.659401,-0.3450686868364457,27.848771005801837,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2618.61,2661.9998630462,-0.196,34.659599,-0.34734440520650817,27.84904086351571,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2622.521,2666.0003896415556,-0.197,34.66,-0.3486415621558665,27.849427627138994,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2626.431,2669.999966056193,-0.198,34.6605,-0.3499393019959089,27.84989444594612,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2630.341,2673.9996151673276,-0.198,34.661098,-0.35025810907683885,27.850393322855325,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2634.252,2678.0003599265474,-0.199,34.660198,-0.3515498698697564,27.84972784995034,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2638.162,2682.0001544358797,-0.199,34.6595,-0.3518631384304318,27.849178562591987,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2642.072,2686.000021628323,-0.2,34.659901,-0.3531612812608372,27.84956529865326,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2645.982,2689.9999614994135,-0.2,34.659199,-0.3534750018462054,27.849012787977472,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2649.892,2693.999974044691,-0.201,34.659698,-0.3547740323232772,27.849478778575758,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2653.802,2698.000059259694,-0.201,34.660301,-0.35509432466049434,27.84998175704527,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2657.712,2702.000217139959,-0.202,34.659401,-0.35638724621245643,27.849316236984578,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2661.622,2706.0004476810254,-0.202,34.66,-0.35670800656690466,27.849815999362363,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2665.531,2709.999727773696,-0.202,34.659302,-0.3570228590686197,27.849266754181826,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2669.441,2714.000103604398,-0.203,34.659698,-0.35832250215668826,27.84964943334421,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2673.35,2717.9995289406274,-0.204,34.660198,-0.3596227578439604,27.85011621492322,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2677.26,2722.0000500431247,-0.205,34.660599,-0.3609228343704947,27.850502918633993,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2681.169,2725.999620605075,-0.206,34.659698,-0.36221688939630126,27.84983652517053,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2685.079,2730.0002869615237,-0.206,34.659,-0.36253296011334585,27.84928730197271,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2688.988,2734.0000027313563,-0.207,34.6595,-0.3638340490208117,27.849754052160733,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2692.897,2737.9997910891575,-0.208,34.659901,-0.36513487453332033,27.85014071908836,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2696.806,2741.999652030469,-0.208,34.6605,-0.3654577117771749,27.850640560100146,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2700.715,2745.999585550832,-0.2089,34.6609,-0.3666610591985349,27.85102172107713,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2704.625,2750.000614936243,-0.2089,34.659,-0.3669725866213749,27.849500304548883,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2708.533,2753.9996703108777,-0.2099,34.659401,-0.36827419112639176,27.84988695466791,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2712.442,2757.9998215416463,-0.2109,34.659801,-0.36957607713769186,27.85027278980374,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2716.351,2762.000045333631,-0.2109,34.6591,-0.36989391200775634,27.849721176807407,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2720.26,2766.0003416823774,-0.2109,34.659801,-0.37021869602214175,27.850303577370823,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2724.168,2769.9996872001648,-0.2109,34.6591,-0.37053694590739217,27.849751979991424,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2728.077,2774.000128630498,-0.2119,34.6595,-0.3718397177122264,27.850137818713165,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2731.985,2777.999619183846,-0.2129,34.66,-0.3731430912674441,27.85060452916855,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2735.894,2782.0002056779376,-0.2129,34.659302,-0.37346213087568947,27.850055376231694,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2739.802,2785.9998412490227,-0.2139,34.659698,-0.3747654336319875,27.85043795813135,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2743.71,2789.999549313018,-0.2139,34.659,-0.37508485867766544,27.849888812597328,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2747.619,2794.000353360045,-0.2149,34.6595,-0.37638917372820074,27.850355513058048,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2751.527,2798.000206415043,-0.2159,34.659901,-0.3776931327522973,27.85074212174277,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2755.435,2802.000131949586,-0.2169,34.6604,-0.37899776976525007,27.85120799033075,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2759.343,2806.000129959219,-0.2179,34.6595,-0.38029583299994363,27.850542222270406,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2763.251,2810.0002004394887,-0.2189,34.659901,-0.38160039558595626,27.850928794857964,NA
